Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4,Latent-Semantic-5
Subject-23,0.23170205006438338,0.12702948820168372,-0.003136227865698621,0.0036501449655174946,-0.051789569897176105
Subject-25,0.21115819542671774,0.01586680895638123,0.06602637687936132,0.01119742726594554,-0.0676774586826827
Subject-21,0.20864914385465724,-0.04475512425005205,0.006753995720882713,-0.14614184686952764,0.014505535479608034
Subject-5,0.16573411164551582,0.12823852930682494,0.044538602046192644,-0.10245866826025347,0.006978401588051965
Subject-24,0.15609387044461406,-0.005487718950856942,0.05806803903921833,0.09438781456772431,-0.004596393545303309
Subject-1,0.14912721329679382,-0.0069525306614293715,-0.01297648423627195,0.11852352670546493,-0.055582115070810886
Subject-33,0.14681104988615484,-0.24531760464326258,0.047519753397163376,-0.1423824067756289,-0.04050420370414883
Subject-8,0.14653831124399547,-0.04179456696807156,0.03517351210907796,0.12759801754214609,-0.03369824788204794
Subject-39,0.12442699060535031,0.09875713204517697,0.011729116453595308,-0.013723348844267735,0.015266113320369205
Subject-30,0.12399316376815459,0.007956316602315662,-0.04648787868328309,-0.04329231858212581,-0.014279308463355785
Subject-22,0.10567930801408487,-0.043357719885958865,-0.03403663626944602,-0.05611515167481094,0.10655970796376817
Subject-15,0.10560256071290972,0.09291347006444937,-0.13761527293894965,0.07267818817690942,0.005041882587183579
Subject-40,0.09253641958110645,0.11369071404096978,-0.012522529100698353,-0.059249502567853364,0.060621802916279624
Subject-3,0.08748177394456404,0.05487916578944694,-0.03114300909223367,0.005161381640301323,-0.019983366309253733
Subject-38,0.08219185131339658,-0.04294362301714353,0.03871492987514281,-0.07221743872549316,0.0799886463545115
Subject-35,0.07945042066120915,-0.03339949889203878,-0.00012570157368146305,-0.014754918659991387,0.06591022315306841
Subject-18,0.06674170982675422,0.0753397355671224,-0.07853822661134267,-0.03738567601452168,0.07743698261900941
Subject-29,0.06399075398435392,0.15773048049751764,0.006279946415946943,0.057343665135148957,-0.07170967150166002
Subject-26,0.06239049645583071,0.1036504000974332,-0.0361425894431869,0.030101798201483832,-0.024836275073812312
Subject-9,0.04444544276253417,0.03775221219164809,-0.05045332304329382,-0.023282098928026525,0.0045385016064563004
Subject-36,0.04343117092444054,-0.15511647073293272,0.10440877070797747,0.010951789278114625,-0.0853744065127909
Subject-6,0.02610485190626673,-0.02604017805531107,-0.014110166991107984,-0.08102846449645182,-0.10918215410838494
Subject-12,0.017944245481713618,-0.01676538097794524,-0.05129723364525078,-0.016827392500128456,0.15963139870883358
Subject-32,0.0020033680958853107,-0.1590975130005659,0.054287768183756725,0.11215036622699592,0.14294762157498214
Subject-10,-0.001677476216986422,0.015967873660094715,-0.045647124738248765,0.15839287657505255,-0.049567829844455936
Subject-31,-0.013784146302728353,-0.16552660421091206,0.05544686687036633,-0.13850614598939076,-0.03320030705339
Subject-13,-0.01781929058308532,0.11725052036983423,0.007034227110440429,-0.034638673246646594,0.0023918421787705335
Subject-17,-0.08784861224760851,-0.012063840121319041,-0.06491838299672306,0.01664115533515167,-0.03958099251755208
Subject-19,-0.09518056276936414,-0.07313348653456261,0.1853762284331591,0.1327964242976241,-0.053951326805284514
Subject-16,-0.09702919718526906,-0.1882581273877722,-0.05383758486010182,0.1404357477292675,0.03657600106898915
Subject-11,-0.1053957012591373,-0.017804457851128296,0.024402170487437504,0.2710788744572692,0.08268783585915129
Subject-4,-0.10567666519748284,0.1154352536852978,-0.06771339005879995,-0.07729471871597735,-0.05827417040797643
Subject-7,-0.11868311411220936,-0.1681545289523706,0.026491587873147572,0.0836676003250035,-0.05345485189183434
Subject-2,-0.16412557882920392,0.02396884535936412,0.019639349935812143,-0.1108081578446575,-0.0761930459659918
Subject-34,-0.18010625646155376,-0.0873082630873531,0.09118074194066328,-0.1115300241599028,-0.059452071643406865
Subject-14,-0.20758700888208265,0.12905355495336224,-0.01855871781346305,-0.17124509430665077,0.209289678895552
Subject-20,-0.2332648100326246,-0.03026493355327752,-0.12375165221122801,0.02307769805538471,-0.0681365307681597
Subject-27,-0.3019368662399936,-0.02553576682173368,0.06585664039846266,-0.012321202883506476,0.19089495881925606
Subject-37,-0.38418681940886235,0.06381929494076448,0.00882812243775012,-0.0491299913208739,-0.1489413241473529
Subject-28,-0.41501364684351544,0.10908288916016565,-0.07604226256616996,0.05635109755672772,-0.04685972440408774
