Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
Subject-36,-0.048944109678268434,-0.050468438863754274,-0.02960732877254486,0.01817912459373474
Subject-24,-0.049406114220619204,-0.048635706305503845,0.007567887753248214,-0.0627665638923645
Subject-7,-0.049562770128250125,-0.053678852319717404,0.01235331892967224,0.007560800760984421
Subject-13,-0.04964459836483002,0.022338613867759705,-0.0102178655564785,0.0049342881888151165
Subject-17,-0.0496509999036789,0.014051787555217743,0.009974616765975951,-0.03375541865825653
Subject-21,-0.04968835413455963,0.0381773591041565,0.006409343332052231,-0.0023466475307941438
Subject-35,-0.049731338024139406,0.024837526679039,-0.014455170929431915,0.023774512112140656
Subject-40,-0.049830508232116696,0.04648573994636536,0.03637325167655945,-0.01966775208711624
Subject-6,-0.04985523819923401,0.037809109687805174,-0.008127674460411072,-0.00777260959148407
Subject-5,-0.04991907775402069,0.045343604683876035,-0.004706911742687225,0.007697071880102158
Subject-29,-0.04992102086544037,0.047930797934532164,0.015063326060771941,0.00269981287419796
Subject-15,-0.049937006831169126,-0.01115533784031868,-0.06697238683700561,-0.027116239070892334
Subject-34,-0.0499494194984436,-0.04452705085277557,-0.08821807503700256,0.06764147281646729
Subject-37,-0.04995693862438202,0.02319878339767456,0.06432009339332581,0.10310945510864258
Subject-1,-0.04995843105845981,-0.012089151475164626,0.07367521524429321,-0.008642988072501289
Subject-3,-0.04995944797992706,0.030803829431533813,0.015236331522464753,0.03087969422340393
Subject-16,-0.050048887729644775,-0.06230400800704956,0.02106180042028427,-0.030538171529769897
Subject-31,-0.05006794929504395,0.04732977449893951,-0.09197216629981994,0.024887873232364653
Subject-23,-0.05010835528373718,0.023346082866191865,-0.0016186658293008804,0.001180093362927437
Subject-22,-0.050137686729431155,0.011035247147083283,-0.013694779574871063,0.048224514722824095
Subject-4,-0.05021601915359497,0.0178727388381958,-0.0016101613640785218,-0.019102802872657774
Subject-9,-0.05023478865623474,0.05432550311088562,0.00340496301651001,-0.027323564887046813
Subject-12,-0.05023746490478516,0.009142939746379853,0.046726110577583316,-0.0488585352897644
Subject-28,-0.05025022029876709,-0.011534456908702851,-0.045500510931015016,0.004105588421225548
Subject-19,-0.0502776563167572,-0.08382974863052368,0.041696465015411376,0.03493855595588684
Subject-39,-0.05029892325401306,0.0070970505475997925,-0.008381304889917373,0.02499953508377075
Subject-33,-0.050317400693893434,0.052395188808441163,-0.013220557570457458,-0.007793485373258591
Subject-18,-0.05032885670661926,0.013537238538265228,0.04229933023452759,-0.04528661370277405
Subject-2,-0.05033632516860962,-0.044167980551719666,-0.03403676152229309,0.02283473014831543
Subject-38,-0.05034552216529846,0.0346080094575882,0.06848453283309937,0.02754860818386078
Subject-32,-0.05040190815925598,-0.07265595197677613,-0.026838672161102296,0.027956035733222962
Subject-20,-0.050406265258789065,0.027921491861343385,0.01974298059940338,-0.040544673800468445
Subject-26,-0.05043529868125916,0.03485097885131836,-0.030207163095474242,0.023211644589900972
Subject-30,-0.05045409202575683,0.04192517995834351,-0.032548540830612184,-0.03704557418823242
Subject-25,-0.050455957651138306,0.017566631734371185,-0.03986298441886902,0.009769392013549805
Subject-27,-0.05049358606338501,-0.07688970565795898,0.01901061534881592,0.0032388933002948763
Subject-14,-0.05049989819526672,-0.009753800183534621,0.0268591046333313,0.005229026451706887
Subject-10,-0.05066640509499444,0.012099112073580423,0.019541213909784954,-0.05439592401186625
Subject-11,-0.050932121276855466,-0.10573219060897827,-0.0039596717804670336,-0.031739774346351626
Subject-8,-0.05096280574798584,-0.045328518748283385,0.03019592761993408,-0.014315257966518401
