Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
Subject-22,2.2272799806612316,0.7277755330970693,1.5991927619713149,2.168138456544445
Subject-34,1.9301049779986936,0.6151670393840032,1.3959219489722745,1.94589246292023
Subject-33,1.8458743038855825,0.814113922057387,1.416556718064839,1.7131260076668784
Subject-37,1.826821389814387,1.2034887121204083,1.1888184441306067,1.7782130513736376
Subject-17,1.6147690471788407,1.4782563691747015,1.174597104768411,1.2510209269826886
Subject-24,1.5782316533517329,1.9592915743686905,1.6812063867406124,1.1793173291610026
Subject-35,1.450876809772664,1.3715875221601652,1.1737413062761894,1.2303620197725438
Subject-31,1.4270185180225021,0.9986144926143421,0.9687386384007057,1.3810892872899632
Subject-29,1.413504712271354,1.1082691271857013,1.0809340039323936,1.120075233447408
Subject-1,1.3169856581848167,2.226135933926443,1.5867801558799455,1.211235499533217
Subject-36,1.314357755963456,1.6110326361795437,1.2419162474186582,0.8142064232480589
Subject-39,1.2972514631515952,1.0070075409051087,0.9987845057027341,1.381759583769217
Subject-8,1.2390397662144854,2.398188074127762,1.7352340336527496,1.7768598116451464
Subject-26,1.2069726592800527,1.6538118658025265,0.9487708477287322,1.5050444273035022
Subject-30,1.1837034084711666,0.9857619361455783,0.9198484062683082,1.3283005121094729
Subject-40,1.1582373431114559,1.747909813500004,1.053380095451296,0.9101593379571977
Subject-20,1.1180423328221416,1.248670986074009,0.9318994028598148,0.9732792387065828
Subject-5,1.0992534674260477,1.6939084882345852,1.0156107993134305,0.8822274422637474
Subject-28,1.0783877727665143,1.4827831555482933,0.8839063697545171,1.2341696252748648
Subject-2,1.064303578164728,1.0640113499284918,0.8228471777834573,1.2792192812540812
Subject-6,1.0542411193579089,1.5745982673661625,0.9891870508744851,0.8059780659023446
Subject-7,1.04214050766188,1.6127083459161136,1.0525763917973552,0.8904951245029645
Subject-12,1.0358245452642794,1.8215209480322418,0.9515536790483502,1.0462709213661845
Subject-3,1.0356564566595754,1.5795076246573623,0.9218597320640466,1.0533170875259565
Subject-10,0.9882628971983225,1.9695948891999049,1.2350208245604553,1.3127570199677443
Subject-13,0.9855586703443657,1.4357241211494587,0.8300346932542606,0.7288352029081422
Subject-16,0.9625838552753269,1.7011661198521721,1.1501273946448443,0.9086134547078176
Subject-21,0.9407810256761369,1.5817894018510128,0.9264469459610133,0.5982578201361153
Subject-38,0.9100015575292604,1.6494652593151984,0.8518753947762505,1.0863995274820992
Subject-9,0.8785500377406666,1.6237478352716224,0.8527092553026364,0.8931053632227636
Subject-14,0.858507501497553,1.4034279219986332,0.6246388987730948,1.216558873440448
Subject-23,0.8267821990294492,1.8231699662731884,0.9761185232077064,0.9557994745834394
Subject-19,0.8230752577626064,1.4795679533919426,0.8309103097715337,1.1871988759298868
Subject-4,0.8185228374993766,1.6071553650953256,0.8963287025860784,0.9343170352283545
Subject-18,0.8104364863785871,1.91251278216293,1.1358774466643398,0.8963171741715369
Subject-32,0.8062514675060781,1.6569286571225774,1.031111441771423,1.3215947835581132
Subject-15,0.7966862690246114,1.6686042181458682,1.0460559794168747,0.9711902299565098
Subject-11,0.7592375997283215,1.6407183976646234,1.0379779412943833,1.3698599031480883
Subject-25,0.7262425563941083,1.6970447203263155,0.9107893426345374,1.1838712269462988
Subject-27,0.5789132178111173,1.5754118870744278,0.7282933574854915,1.172066623986306
