Subjects,Latent-Semantic-1,Latent-Semantic-2
Subject-28,0.06995490789413453,0.09414443969726563
Subject-27,0.06796030998229981,0.03470520973205567
Subject-37,0.06785993576049805,0.11947904825210572
Subject-20,0.06359941363334656,0.014491957426071168
Subject-14,0.0618895947933197,0.06032261252403259
Subject-16,0.05740247368812561,-0.021917854249477387
Subject-34,0.0564765214920044,0.07451031804084778
Subject-11,0.05561304688453674,-0.003240983933210373
Subject-2,0.05554585456848145,0.07726116180419922
Subject-7,0.05515514612197876,0.007420899718999863
Subject-4,0.05473366379737854,0.03293482959270477
Subject-32,0.05350211262702942,-0.02036178708076477
Subject-17,0.05274164080619812,0.01904238760471344
Subject-31,0.05201438069343567,0.009840093553066254
Subject-19,0.05130937695503235,0.01373962014913559
Subject-22,0.050244474411010744,-0.050158131122589114
Subject-6,0.048617896437644956,0.007580707967281342
Subject-13,0.04852328300476074,0.02208664417266846
Subject-12,0.04809487760066986,-0.059476935863494874
Subject-9,0.047896546125411985,-0.06374210119247437
Subject-38,0.047876811027526854,-0.045899981260299684
Subject-10,0.04732095003128052,-0.049665448069572446
Subject-18,0.04667267799377441,-0.039741691946983335
Subject-36,0.04653671085834503,0.029503124952316283
Subject-15,0.04602226316928863,-0.014035472273826599
Subject-26,0.04553724825382233,-0.008304819464683533
Subject-33,0.044802910089492796,-0.0711367130279541
Subject-35,0.04423691928386688,-0.05551923513412475
Subject-40,0.04260494709014893,-0.03894714415073395
Subject-30,0.04253675937652588,-0.04590524733066559
Subject-3,0.04251911044120789,-0.03651624917984009
Subject-1,0.04093234737714132,-0.015223864052030776
Subject-29,0.04065769910812378,-0.0138325035572052
Subject-39,0.040388137102127075,-0.015841373801231386
Subject-24,0.039860007166862485,-0.018702811002731322
Subject-21,0.03904359042644501,-0.04974205493927002
Subject-8,0.03900808095932007,-0.046586799621582034
Subject-5,0.03734923005104065,-0.03213960230350495
Subject-25,0.035147303342819215,-0.01992548108100891
Subject-23,0.03244225084781647,-0.02816278338432312
