Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
Subject-35,0.7618897798693741,0.6298409868969598,0.6164882894942417,0.7030551713665895
Subject-9,0.7559962766902925,0.6382894677555409,0.5469966616291126,0.7500005262811251
Subject-40,0.7512223607453348,0.5955981633662539,0.6336728742596038,0.7184315637140275
Subject-12,0.7440738153322413,0.6609569391340823,0.5775925919555742,0.7521859278780451
Subject-10,0.7378439445825673,0.7003934926614398,0.6581184275364788,0.7561432593243443
Subject-5,0.7287296710886394,0.5398825896471132,0.5518456840810322,0.6654998802860853
Subject-28,0.7245234302638568,0.7429168147633185,0.76186963930053,0.6273592730063318
Subject-23,0.7133877578236045,0.5888260943757303,0.5500227432077403,0.6610878171745969
Subject-37,0.7026090835271028,0.6119740583332829,0.7036508001469944,0.6126651879269109
Subject-8,0.6987273483500172,0.8094629056011773,0.7818380318576669,0.7721008724150118
Subject-30,0.698529815505911,0.5945109133352028,0.46299849129354664,0.6408349014310077
Subject-38,0.6948916996461187,0.6101545164806594,0.5824609509846211,0.6873088331310588
Subject-18,0.6882433111978956,0.6302499113571477,0.5590205756766256,0.7017066763130735
Subject-1,0.6820104538583709,0.7195213539205898,0.7744392488117595,0.7163478441956784
Subject-26,0.6771626815987759,0.598016181623776,0.5741116235138546,0.541952123647473
Subject-3,0.672892596678233,0.5563170049619075,0.6107285111675487,0.5860246006057536
Subject-20,0.658642319264658,0.6174272705867325,0.6118186711956243,0.6016257675657325
Subject-25,0.6525575277110869,0.5529606395783613,0.5061442717702334,0.5611784102016852
Subject-33,0.647803206415749,0.6107248517978289,0.527048398814685,0.6052725748259639
Subject-17,0.6412646636421905,0.6076528727980784,0.6383829693001232,0.6347596237765021
Subject-29,0.6355195188452889,0.5093956178739834,0.5876739933301534,0.5552840133777793
Subject-31,0.6297757873615784,0.5669632894899361,0.60787608077919,0.5227297505284916
Subject-39,0.6270694678544426,0.5987500533934015,0.5986023141194065,0.5886789269027607
Subject-4,0.6153223715131352,0.5851744293622728,0.5916590067380532,0.5406511164155692
Subject-13,0.6127399751138999,0.4689019384124736,0.5557232083013226,0.48877466095583333
Subject-15,0.6089097752207864,0.5580776611306266,0.5492994054456195,0.5242882923037038
Subject-14,0.5951203512123108,0.5665918668693862,0.5905778368767284,0.4987898508219651
Subject-11,0.5875293974011592,0.7926721829487324,0.7883749048818467,0.6995725817754075
Subject-24,0.5829974116253759,0.6875913606951571,0.7352751956520974,0.6782664099899756
Subject-21,0.5748457881824729,0.43065943330736756,0.4717206479236866,0.5081524466327186
Subject-7,0.5721632782643505,0.7003393897084743,0.7298589536017194,0.6618128049011007
Subject-6,0.5595821130815168,0.4254148671478479,0.4925905662292374,0.48017068596728923
Subject-19,0.5550298003629341,0.7199406740795636,0.7438334832695788,0.6553189576824083
Subject-16,0.5515335303736921,0.6684720768272687,0.708715184723992,0.6282477352336447
Subject-36,0.550059379627294,0.6379787635146321,0.6880141761576549,0.6063111540104145
Subject-2,0.54913538619152,0.6136417551135018,0.6663615920212194,0.4482504103541743
Subject-34,0.5405672048610911,0.6141652863370977,0.6680471952654623,0.43433235270189907
Subject-22,0.5392190485382196,0.4935619369838264,0.5611748365786616,0.3844043891883776
Subject-32,0.5107267270683024,0.6302109415067148,0.6616336027621104,0.5321685077612257
Subject-27,0.5028436091403459,0.6308469701140889,0.6243600675099531,0.5764926124663037
