Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4,Latent-Semantic-5
Subject-25,0.21102768392056387,0.2008095443973393,0.19547989530394286,0.19643229757848146,0.1962505787996725
Subject-27,0.20832248911199347,0.19832331136207293,0.1983938996605697,0.20070071756591545,0.19425958229944842
Subject-31,0.20831865694462642,0.20534099440304038,0.20054321657923468,0.19554740390978925,0.19024972816330923
Subject-13,0.20510866622446913,0.20237037604684954,0.19733514364506038,0.2005188700477573,0.19466694403586363
Subject-18,0.20488758993086126,0.202363714542314,0.1959423925622243,0.19887835913716717,0.19792794382743328
Subject-29,0.20469004771149146,0.201647040713791,0.19562787979925292,0.19825226300114435,0.19978276877432039
Subject-11,0.20389878136331863,0.19244056475264243,0.20615404089515382,0.20316688287385354,0.19433973011503147
Subject-21,0.2029402181842505,0.19563099631571293,0.20236971063992915,0.20074979891808048,0.1983092759420269
Subject-6,0.20282514365371,0.2032525322519339,0.1945411381242115,0.19810695021796537,0.20127423575217923
Subject-2,0.20275896974310967,0.19884682152716104,0.20325268772557742,0.20013044723942391,0.19501107376472798
Subject-30,0.20243848809812265,0.205629192559016,0.20262706874672115,0.1899816673126864,0.1993235832834538
Subject-12,0.20217986748871625,0.205362438865843,0.19370982943992993,0.19892738035194935,0.19982048385356152
Subject-34,0.20214471347214286,0.20051672181450778,0.20562264362760585,0.19582156129531886,0.19589435979042466
Subject-7,0.2020707650415517,0.19355368441095916,0.20389859579116604,0.19635042732913505,0.2041265274271881
Subject-9,0.2018816726607735,0.20027792998687272,0.20795324129456422,0.18996036368899621,0.19992679236879335
Subject-16,0.20093875711504508,0.1942751646736613,0.2052713582790111,0.19602661456738138,0.20348810536490114
Subject-5,0.2008259339856746,0.20326064321244947,0.1959219122421263,0.19950009079206696,0.20049141976768264
Subject-1,0.20049915527034784,0.19842730332367875,0.20473783524328726,0.19456190181471458,0.20177380434797157
Subject-24,0.20009728716934375,0.20204246255070638,0.19791575216350288,0.19789926476088196,0.20204523335556504
Subject-28,0.2000438099598815,0.1952096630631206,0.20227377391619453,0.198500086019796,0.20397266704100744
Subject-35,0.19967504351408033,0.19963785443596208,0.20284175556429376,0.20466284487391526,0.19318250161174852
Subject-37,0.19935820037912805,0.19655707020203209,0.2020113579659979,0.2046463253305652,0.19742704612227674
Subject-26,0.19928877131503636,0.19982933932723895,0.19647997916783205,0.19920661960460145,0.20519529058529123
Subject-19,0.19859206298920845,0.19403415946322639,0.19800937314268025,0.20987902041755127,0.1994853839873337
Subject-39,0.19848299188313287,0.19939918651436617,0.2000535863256181,0.2030915818561596,0.1989726534207232
Subject-3,0.1982754313287831,0.20282576827555862,0.1959574565887775,0.19811821595098372,0.20482312785589704
Subject-40,0.1982166294243621,0.20397919610965234,0.1982538476670108,0.1988958598879104,0.2006544669110643
Subject-17,0.19820963083781115,0.20729738784002177,0.19840610932329952,0.19805948994055747,0.19802738205831005
Subject-36,0.19812526400070157,0.19376871640242238,0.20382209562930834,0.2053136641275491,0.19897025984001865
Subject-14,0.19675441450913164,0.20307918331670863,0.20259970479077166,0.1985710822995579,0.19899561508383015
Subject-38,0.19662580755009204,0.20454091422057002,0.20333482954344664,0.19610170904073373,0.1993967396451576
Subject-33,0.19634898203952728,0.20513103642903077,0.19988358503338227,0.20167255477444335,0.1969638417236163
Subject-32,0.19630205303738896,0.1979203226973357,0.20342866210224417,0.20179872128942272,0.20055024087360845
Subject-22,0.19601104004373873,0.20856167784567212,0.1978576592182289,0.19875562104822997,0.19881400184413026
Subject-15,0.19600469513783364,0.19680073463255315,0.201632075171943,0.20701277504986013,0.19854972000781007
Subject-4,0.19544176007370012,0.20459431373708323,0.19828984368446095,0.2021605128043828,0.19951356970037284
Subject-23,0.1944631154366078,0.20460076290072443,0.1974333053843141,0.20211176470787456,0.20139105157047915
Subject-8,0.19438247329788055,0.2029389711273723,0.19786055398305896,0.20560811706094154,0.19920988453074656
Subject-20,0.1935636828537064,0.19514461159228955,0.2050073301483591,0.19953650276036056,0.20674787264528435
Subject-10,0.1903409800181953,0.21163119025380145,0.19495311650288555,0.20214055245547552,0.20093416076964216
