Subjects,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
Subject-28,0.7190272467921953,0.09333597514065749,0.09833353091789707,0.08930324714925021
Subject-2,0.7082664826311816,0.1507036762587582,0.0726110837743512,0.06841875733570899
Subject-34,0.6946577355762134,0.09015001465294381,0.09033832393081204,0.12485392584003083
Subject-11,0.5779525417425238,0.21181416102244982,0.18113806254806325,0.029095234686963213
Subject-16,0.5636747798368476,0.22393743863411072,0.12804509460880026,0.08434268692024142
Subject-32,0.5192967147701271,0.2005290047474777,0.0876413622254252,0.1925329182569701
Subject-19,0.4281497995245699,0.2530386998840085,0.03280818376149532,0.28600331682992625
Subject-27,0.42270484264692704,0.05444437362314519,0.2976980488073915,0.22515273492253632
Subject-7,0.38661246522573717,0.279714976328818,0.07712640804486912,0.2565461504005757
Subject-4,0.38559124450138865,0.22672247124671324,0.2927385324041754,0.09494775184772267
Subject-36,0.38079608705806495,0.22180918244904194,0.05950324393826423,0.3378914865546289
Subject-20,0.3611554464133647,0.21047690926552373,0.2515157633675909,0.17685188095352067
Subject-8,0.3459491790355539,0.17060500283001806,0.21539295703629846,0.2680528610981296
Subject-3,0.2750809893191511,0.21635441759985347,0.28671484541052983,0.22184974767046567
Subject-24,0.26971142433513723,0.3855806012834079,0.26557612069567,0.0791318536857849
Subject-31,0.25363644700823545,0.12097420192352434,0.16763738468566186,0.4577519663825784
Subject-1,0.2334300135553557,0.26662837114326315,0.35312981891918216,0.14681179638219902
Subject-22,0.22669004883872718,0.13289465970052838,0.07953613292180484,0.5608791585389395
Subject-15,0.20791589803567012,0.26211839550504,0.4556458244567841,0.07431988200250583
Subject-25,0.19139617966734443,0.14133468061014964,0.3611880501814772,0.30608108954102875
Subject-40,0.18581873581609357,0.2616105053621495,0.2415523109424365,0.3110184478793204
Subject-17,0.1829028462034999,0.20870012137353972,0.12469981106357582,0.48369722135938453
Subject-10,0.18265781476189433,0.16640786498344262,0.4139389699598067,0.23699535029485636
Subject-6,0.1718669914331849,0.20261032548019503,0.14481363401314606,0.48070904907347395
Subject-13,0.16703393233585123,0.13095448265559093,0.5838542591039921,0.11815732590456567
Subject-37,0.13846710410979954,0.20399619980671274,0.1566041036292371,0.5009325924542507
Subject-35,0.12554671435606748,0.17875026838076938,0.1393956978675081,0.5563073193956549
Subject-29,0.11703748162111942,0.19078970259532518,0.5298193307511231,0.16235348503243224
Subject-39,0.11056100871707612,0.22721404481252544,0.4958866301616894,0.16633831630870913
Subject-14,0.10657835906433569,0.18766718641213667,0.591502946864401,0.11425150765912659
Subject-26,0.10359282717949625,0.17915533662752436,0.30436814345474605,0.4128836927382332
Subject-18,0.10260823727739747,0.1636965107624846,0.5532610133809295,0.18043423857918853
Subject-21,0.09296065014281153,0.18007564768693388,0.4382084531598542,0.2887552490104003
Subject-23,0.08334954405464053,0.16831184712695207,0.5091959068847627,0.2391427019336446
Subject-33,0.0697692481885794,0.23100976813928503,0.15987476634384923,0.5393462173282864
Subject-38,0.0672693840470429,0.20274055307730351,0.28095955571030723,0.4490305071653463
Subject-9,0.05603207257140924,0.181327302044819,0.4614903620004395,0.3011502633833322
Subject-12,0.05209456755162708,0.10812127445116919,0.4897432175020361,0.35004094049516754
Subject-30,0.051674432511303325,0.16616767228857307,0.1875010796848925,0.5946568155152312
Subject-5,0.04506673140945868,0.14667764638017589,0.16388719013790568,0.6443684320724599
