Subject-23 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
neg,3.1999082788482616,0.4995212546707838,0.14254068971664272
emboss,1.4814495374338308,0.05109877429319891,0.21802402984693417
rot,0.2742426336395177,0.5279239342793929,-0.9145208246829494
poster,-0.13694766186567486,-0.3763086481634561,0.08450207477845942
smooth,-0.17531609145375365,-0.3725437516344975,0.08370251546795618
jitter,-0.20906090348692938,-0.4045967764021916,0.08740087543813321
original,-0.22504379995659868,-0.43705028693011805,0.09729613573263221
stipple,-0.7909233278694042,-0.39163873515786135,0.06040031531187937
con,-1.1120636030658706,-0.5410463303043853,0.07836585675972028
cc,-1.4631946705502341,1.627222139815105,0.13839421629159043
detail,,,
noise1,,,
noise2,,,
