Subject-6 Types,Latent-Semantic-1,Latent-Semantic-2
neg,0.024575587545822012,0.9754244124541781
emboss,0.017693897626521217,0.9823061023734787
rot,0.014137101459394183,0.9858628985406057
poster,0.014095643117104864,0.985904356882895
smooth,0.014090902548990406,0.9859090974510096
original,0.014062807374861175,0.9859371926251388
jitter,0.014057240173733896,0.9859427598262659
stipple,0.012432104346721911,0.9875678956532781
con,0.011747696400512254,0.9882523035994877
cc,0.00995945111287705,0.9900405488871229
detail,,
noise1,,
noise2,,
