Subject-34 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
smooth,0.018763416174694788,0.018763416175046916,0.9624731676502583
emboss,0.009615746391111612,0.009615746391391124,0.9807685072174973
poster,0.006989635104837548,0.006989635104900092,0.9860207297902625
rot,0.0068253584675304875,0.006825358467577492,0.9863492830648921
neg,0.006773723498757378,0.006773723498890551,0.986452553002352
original,0.006773723346231421,0.0067737233463645964,0.986452553307404
jitter,0.005518283523916706,0.005518283524045104,0.9889634329520381
cc,0.0034332252709759043,0.0034332252710403627,0.9931335494579839
con,0.0030457033313865066,0.003045703331433617,0.9939085933371798
stipple,0.001197522071266538,0.0011975220712717968,0.9976049558574616
detail,,,
noise1,,,
noise2,,,
