Subject-34 Types,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
smooth,-0.06368494629859925,0.055703192949295044,-0.12008943557739257
rot,-0.08364415764808655,0.028448891639709473,0.02112313061952591
emboss,-0.08389973640441895,0.013688749074935913,0.10981074571609498
neg,-0.08425110578536987,-0.014254090189933778,0.19288389682769774
original,-0.08467626571655273,0.06194441318511963,-0.10725266933441162
jitter,-0.09425852298736573,0.036131569743156434,-0.029215499758720398
con,-0.09485006928443909,0.050723320245742796,-0.07759939432144165
poster,-0.09591062068939209,0.03235992193222046,-0.005107973143458367
stipple,-0.10425020456314087,0.011306898295879364,0.03671486377716064
cc,-0.1087912917137146,0.005998709425330162,0.056400299072265625
detail,,,
noise1,,,
noise2,,,
