TYPE,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
neg,6.065304558300626,5.94333812209064,0.0
detail,4.7382954114424125,2.229835227006695,7.042303751244474
noise1,4.7382954114424125,2.229835227006695,7.042303751244474
noise2,4.7382954114424125,2.229835227006695,7.042303751244474
emboss,4.380148136715808,2.3433338842392093,4.381618324206392
rot,3.4541470038968876,2.3892109413626206,5.259617673936146
smooth,3.3259373029748565,1.6297710965360206,6.326966002507644
poster,3.317509552753118,1.6471856049025801,6.2966464742911405
jitter,3.2821172068414755,1.6847387265353466,6.321964819381783
original,3.2519871814306414,1.7375816095827257,6.321596366456336
cc,2.740006599232302,5.194100406319739,6.404695470558307
stipple,2.1719978276448084,2.8488704577715915,6.59589291571541
con,2.0749982563649016,4.035340341941998,6.509121232524396
