TYPE,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
detail,2611.459501395588,0.0,2844.7093566437798,3044.15026090257
noise1,2611.459501395588,0.0,2844.7093566437798,3044.15026090257
noise2,2611.459501395588,0.0,2844.7093566437798,3044.15026090257
smooth,1410.2774504399001,2932.8456977763603,728.5448159268699,1456.9325871970611
rot,1347.430604280314,2995.5022006820664,857.3194451978887,1514.5587215555418
original,1345.387795444162,2966.8456419402887,826.9591059557505,1497.5402657006227
emboss,1316.845366964674,3044.15026090257,1238.096114459571,0.0
neg,1268.7015435375065,2957.798806399712,897.9105331478906,1492.7288068760424
jitter,926.5920776903087,2918.702618958148,1247.372521369388,1518.4644635504308
poster,689.5872273163841,2531.612789668973,1140.9400191335967,1439.9988568458357
con,652.8629846095495,2558.542084716992,1192.0206814491182,1458.9666647471695
cc,648.1797447178967,2760.702747851604,1385.68030255505,1546.5997355565319
stipple,635.175117940874,2754.4538464562834,1403.751525196313,1534.4187850568062
