TYPE,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4,Latent-Semantic-5,Latent-Semantic-6
noise1,0.9995412699716534,1.403226445779281e-05,2.2958513285248983e-05,0.00011929077608216875,0.00028841641543950235,1.403205908201259e-05
rot,0.34713464299590024,0.023616435227837504,0.0477294375437546,0.06215462509187801,0.03130661158307854,0.488058247557551
neg,0.19686072477227262,0.13331243668876067,0.09350374912923479,0.2064169279312842,0.15016278446751058,0.21974337701093724
cc,0.14103169308335073,0.7347255268076283,0.06001859447336956,0.017219731199708793,0.04391087887225624,0.003093575563686451
detail,0.08961027387270747,0.08350461249468054,0.17111372994791071,0.024210338973370386,0.26855475814597035,0.3630062865653605
stipple,0.04914885309643561,0.7830632599099,0.056873399188047916,0.061288575606637384,0.04593957224994431,0.0036863399490348154
con,0.031781791764282814,0.5135560901269776,0.10754432641780606,0.25796799867713693,0.014566681273953096,0.07458311173984339
poster,0.026752030318899608,0.467763898681491,0.0998950602062356,0.30720779899140777,0.009883331376217306,0.08849788042574858
emboss,0.01344414564942354,0.34233583341562385,0.010358668199907281,0.005928530450035909,0.10079663994725675,0.5271361823377527
smooth,0.008429148726536634,0.0002378006843893956,0.010812521765746114,0.5094444236833888,0.004208492275941629,0.4668676128639975
original,0.008118786073511334,0.00048256377650863325,0.002514334135694646,0.9283780453338762,0.060483818471326375,2.2452209082818527e-05
noise2,1.5941780420349616e-05,1.4032338644643808e-05,1.4033312520043062e-05,1.4032715715499964e-05,0.9999279271357963,1.4032716903190741e-05
jitter,1.4361448282574881e-05,1.4362208387035864e-05,0.9999281940931275,1.4360529438384196e-05,1.4362420405570049e-05,1.4359300358946845e-05
