Subject,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3
7,-0.15099835,0.016512932,0.023976257
16,-0.15281133,0.019976348,-0.004059496
8,-0.15283038,0.042176113,0.0070561655
6,-0.15442343,0.04653976,0.017951036
27,-0.15459743,-0.09729564,-0.1325789
12,-0.15479183,0.02432946,0.021058943
18,-0.15505314,-0.02884424,-0.017027274
1,-0.15512906,0.07079241,0.005013826
17,-0.1555294,0.009781776,-0.004426739
37,-0.1556087,-0.15877464,0.1237136
10,-0.15587848,0.054303594,0.033523496
5,-0.15611434,0.04434227,0.02485646
32,-0.15612687,-0.12365223,-0.054503463
3,-0.15635598,0.06843214,0.025951022
2,-0.15644976,0.075129084,0.005478957
36,-0.1568948,-0.25487795,0.29442266
13,-0.15690838,0.09352788,0.032953247
19,-0.15699166,0.01686051,-0.01688792
26,-0.1575447,-0.12298229,-0.12936378
21,-0.1576027,0.08671227,0.0011154922
15,-0.15777692,0.13161752,0.057843562
23,-0.15777695,-0.32450932,-0.2163583
11,-0.1579179,0.10949002,0.0324323
20,-0.1583385,0.1183719,0.041730627
28,-0.15837096,-0.05067977,-0.14969854
9,-0.15868758,0.07604718,0.033619564
24,-0.15883164,0.018423242,-0.10605273
38,-0.16027421,-0.20593901,0.2556758
31,-0.16037762,-0.14207819,-0.059016827
25,-0.16057073,-0.14460395,-0.14139012
40,-0.16068992,-0.18877071,0.21312732
14,-0.1607034,0.16131234,0.07454753
39,-0.1609657,-0.1746495,0.19652748
30,-0.16146916,-0.12520644,-0.03265817
35,-0.16172831,-0.20636728,0.25113252
4,-0.16198108,0.11369453,0.01072507
33,-0.16238186,0.0070094476,-0.22209258
29,-0.16367356,0.1702748,-0.31378397
34,-0.1641977,0.12546465,-0.51423335
22,-0.16776045,0.6148537,0.33542922
